0	1	2
1	2	3
2	3	4
3	4	5
4	5	6
5	2	6
6	6	7
7	7	8
8	7	9
9	9	10
10	0	10
11	10	11
12	11	12
13	12	13
14	9	14
15	14	15
16	15	16
17	16	17
18	17	18
19	14	19
20	19	20
21	20	21
22	21	22
23	22	23
24	19	23
25	23	24
26	24	25
27	25	26
28	14	27
29	27	28
30	28	29
31	29	30
32	30	31
33	31	32
34	32	33
35	33	34
36	34	35
37	35	36
38	30	36
39	36	37
40	34	37
41	37	38
42	38	28
43	38	39
44	39	40
45	40	41
46	33	41
47	41	42
48	42	43
49	43	44
50	44	45
51	45	46
52	46	47
53	47	48
54	48	49
55	49	39
56	28	49
57	48	50
58	27	50
59	50	51
60	51	52
61	47	52
62	51	53
63	53	54
64	54	55
65	52	55
66	55	56
67	54	57
68	56	57
69	46	56
70	45	58
71	5	59
72	59	60
73	60	61
74	61	62
75	62	63
76	63	64
77	61	65
78	4	65
79	4	66
80	65	67
